Bottled Drinks
, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Iced Espresso Classics  - Vanilla Latte, , , , , 
Iced Espresso Classics - Caffe Mocha, , , , , 
Iced Espresso Classics - Caramel Macchiato, , , , , 
Iced Espresso Classics - Skinny Caramel Macchiato, , , , , 
Iced Espresso Classics - Skinny Vanilla Latte , , , , , 
Starbucks Doubleshot? Energy Coffee Drink, , , , , 
Starbucks Doubleshot? Energy Hazelnut Drink, , , , , 
Starbucks Doubleshot? Energy Mexican Mocha, , , , , 
Starbucks Doubleshot? Energy Mocha Drink, , , , , 
Starbucks Doubleshot? Energy Vanilla Drink, , , , , 
Starbucks Doubleshot? Energy White Chocolate Drink, , , , , 
Starbucks Doubleshot? Espresso Cubano, , , , , 
Starbucks Doubleshot? Espresso Drink, , , , , 
Starbucks Doubleshot? Espresso Salted Caramel Cream, , , , , 
Starbucks Doubleshot? Light Espresso Drink, , , , , 
Starbucks Doubleshot? Protein Caramel, , , , , 
Starbucks? Bottled Caramel Frappuccino? Coffee Drink, , , , , 
Starbucks? Bottled Coffee Frappuccino? Coffee Drink , , , , , 
Starbucks? Bottled Cold Brew Black, Sweetened, , , , , 
Starbucks? Bottled Cold Brew Black, Unsweetened, , , , , 
Starbucks? Bottled Cold Brew Cocoa and Honey with Cream, , , , , 
Starbucks? Bottled Cold Brew Vanilla and Fig with Cream, , , , , 
Starbucks? Bottled Dulce de Leche Frappuccino? Coffee Drink, , , , , 
Starbucks? Bottled Mocha Frappuccino? Coffee Drink, , , , , 
Starbucks? Bottled Mocha Light Frappuccino? Coffee Drink, , , , , 
Starbucks? Bottled S'mores Frappuccino? Coffee Drink, , , , , 
Starbucks? Bottled Vanilla Frappuccino? Coffee Drink , , , , , 
Starbucks? Bottled Vanilla Light Frappuccino? Coffee Drink, , , , , 
Starbucks? Doubleshot Protein Dark Chocolate, , , , , 
Starbucks? Doubleshot Protein Vanilla, , , , , 
Starbucks? Iced Coffee Caramel, , , , , 
Starbucks? Iced Coffee Light Sweetened, , , , , 
Starbucks? Iced Coffee Unsweetened, , , , , 
Starbucks? Iced Latte - Pumpkin Spice Latte, , , , , 
Starbucks? Low Calorie Iced Coffee + Milk, , , , , 
Teavana? Mango Black Tea, , , , , 
Teavana? Peach Green Tea, , , , , 
Teavana? Pineapple Berry Iced Tea, , , , , 
White Chocolate Mocha Bottled Frappuccino, , , , , 

