Freshly Brewed Coffee
, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Blonde Roast, 5, 0, 0, 0, 1
Caff? Misto, , , , , 
Clover? Brewed Coffee, 10, 0, 0, 0, 1
Coffee Traveler, , , , , 
Cold Foam Cascara Cold Brew, 80, 0, 17, 0, 2
Cold Foam Cascara Nitro, 80, 0, 18, 0, 2
Decaf Pike Place? Roast, 5, 0, 0, 0, 1
Featured Dark Roast, 5, 0, 0, 0, 1
Iced Coffee, 5, 0, 0, 0, 0
Iced Coffee with Milk, , , , , 
Nari?o 70 Cold Brew, 5, 0, 0, 0, 0
Nari?o 70 Cold Brew with Milk, 0, 0, 0, 0, 0
Nitro Cold Brew, 5, 0, 0, 0, 0
Nitro Cold Brew with Sweet Cream, 70, 5, 5, 0, 1
Pike Place? Roast, 5, 0, 0, 0, 1
Vanilla Sweet Cream Cold Brew, 110, 6, 14, 0, 1

