Iced Tea
, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Shaken Sweet Tea, 80, 0, 19, 0, 0
Teavana? Shaken Iced Black Tea, 30, 0, 8, 0, 0
Teavana? Shaken Iced Black Tea Lemonade, 70, 0, 17, 0, 0
Teavana? Shaken Iced Green Tea, 30, 0, 8, 0, 0
Teavana? Shaken Iced Green Tea Lemonade, 70, 0, 17, 0, 0
Teavana? Shaken Iced Passion Tango"! Tea, 30, 0, 8, 0, 0
Teavana? Shaken Iced Passion Tango"! Tea Lemonade, 70, 0, 17, 0, 0
Teavana? Shaken Iced Pi?a Colada Tea Infusion, , , , , 
Teavana? Shaken Peach Citrus White Tea Infusion, 30, 0, 8, 0, 0
Teavana? Shaken Peach Citrus White Tea Infusion Lemonade, 50, 0, 13, 0, 0
Teavana? Shaken Pineapple Black Tea Infusion, 30, 0, 8, 0, 0
Teavana? Shaken Pineapple Black Tea Infusion Lemonade, 50, 0, 13, 0, 0
Teavana? Shaken Strawberry Green Tea Infusion, 30, 0, 8, 0, 0
Teavana? Shaken Strawberry Green Tea Infusion Lemonade, 50, 0, 13, 0, 0

