Starbucks Refreshers"! Beverages
, Calories, Fat (g), Carb. (g), Fiber (g), Protein (g)
Cool Lime Lemonade Starbucks Refreshers?, 80, 0, 20, 0, 0
Cool Lime Starbucks Refreshers"! Beverage, 45, 0, 11, 0, 0
Ombr? Pink Drink, , , , , 
Pink Drink, , , , , 
Strawberry Acai Lemonade Starbucks Refreshers? , 110, 0, 27, 1, 0
Strawberry Acai Starbucks Refreshers"! Beverage, 80, 0, 18, 1, 0
Very Berry Hibiscus Lemonade Starbucks Refreshers? , 90, 0, 23, 1, 0
Very Berry Hibiscus Starbucks Refreshers"! Beverage, 60, 0, 14, 1, 0
Violet Drink, , , , , 

